activity_code,met_value,description,category
19325,15.0,"Rollerskiing, 24 – 27.9 km/h, no incline",winter-activities
19330,12.5,"Rollerskiing, 10-15 km/h, 2-5 degree incline",winter-activities
19335,14.3,"Rollerskiing, 16-22 km/h, 2-5 degree incline",winter-activities
19340,12.3,"Rollerskiing, 6-9 km/h, 6-10 degree incline",winter-activities
19345,16.0,"Rollerskiing, >10 km/h, 6-10 degree incline",winter-activities
19400,9.0,"Mountaineering, downhill climbing, walking down with rope",winter-activities
19405,10.3,"Mountaineering, downhill climbing/cross-country skiing",winter-activities
20000,1.0,"Sitting in church, in service, attending a ceremony, sitting quietly",religious-activities
20001,2.0,"Sitting, playing an instrument at church",religious-activities
20005,1.8,"Sitting in church, talking or singing, attending a ceremony, sitting, active participation",religious-activities
20010,1.5,"Sitting, reading religious materials at home",religious-activities
20015,1.3,"Standing quietly in church, attending a ceremony",religious-activities
20020,2.0,"Standing, singing in church, attending a ceremony, standing, active participation",religious-activities
20025,1.3,"Kneeling in church or at home, praying",religious-activities
20030,1.3,"Standing, talking in church",religious-activities
20035,2.0,Walking in church,religious-activities
20036,2.0,"Walking, less than 2.0 mph, very slow",religious-activities
20037,3.8,"Walking, 2.8 to 3.4 mph, moderate speed, not carrying anything",religious-activities
20038,4.8,"Walking, 3.5 to 3.9 mph, brisk speed, not carrying anything",religious-activities
20039,2.0,"Walk/stand combination for religious purposes, usher",religious-activities
20040,5.0,"Praise with dance or run, spiritual dancing in church",religious-activities
20045,2.3,Serving food at church,religious-activities
20046,2.0,Preparing food at church,religious-activities
20047,3.3,"Washing dishes, cleaning kitchen at church",religious-activities
20050,1.5,Eating at church,religious-activities
20055,2.0,"Eating/talking at church or standing eating, American Indian Feast days",religious-activities
20060,3.3,Cleaning church,religious-activities
20061,4.0,General yard work at church,religious-activities
20065,3.8,"Standing , moderate effort (e.g., lifting heavy objects, assembling at fast rate)",religious-activities
20095,4.5,"Standing, moderate-to-heavy effort, manual labor, lifting ≥ 50 lbs, heavy maintenance",religious-activities
20100,1.3,"Typing, electric, manual, or computer",religious-activities
21000,1.3,"sitting, meeting, general, and/or with talking involved",volunteer-activities
21005,1.5,"Sitting, light office work, in general",volunteer-activities
21010,2.5,"Sitting, moderate work",volunteer-activities
21015,1.8,"Standing, light work (filing, talking, assembling)",volunteer-activities
21016,2.0,"Sitting, child care, only active periods",volunteer-activities
21017,3.5,"Standing, child care, only active periods",volunteer-activities
21018,3.5,"Walk/run play with children, moderate, only active periods",volunteer-activities
21019,5.8,"Walk/run play with children, vigorous, only active periods",volunteer-activities
21020,3.3,"Standing, light/moderate work (e.g., pack boxes, assemble/repair, set up chairs/furniture)",volunteer-activities
21025,3.5,"Standing, moderate (e.g., lifting 50 lbs., assembling at fast rate)",volunteer-activities
21030,4.5,"Standing, moderate/heavy work",volunteer-activities
21035,1.3,"Typing, electric, manual, or computer",volunteer-activities
21040,2.3,"Walking, less than 2.0 mph, very slow",volunteer-activities
21045,3.8,"Walking, 2.8 to 3.4 mph, moderate speed, not carrying anything",volunteer-activities
21050,4.8,"Walking, 3.5 to 3.9 mph, brisk speed, not carrying anything",volunteer-activities
21055,3.5,"Walking, 2.5 mph slowly and carrying objects less than 25 pounds",volunteer-activities
21060,4.5,"Walking, 3.0 mph moderately and carrying objects less than 25 pounds, pushing something",volunteer-activities
21065,4.5,"Walking, 3.5 mph, briskly and carrying objects less than 25 pounds",volunteer-activities
21070,3.0,"Walk/stand combination, for volunteer purposes",volunteer-activities
22040,1.3,"Seated, video game, handheld controller (inactive)",video-games
22120,1.5,"Video game, handheld controller (light effort)",video-games
22160,2.3,"Video game, light effort (Wii Fit, yoga, bowling, etc.)",video-games
22200,3.0,"Active video game, motion sensing game/using upper body (light to moderate effort)",video-games
22240,4.0,"Active video game, motion sensing game/using total body (moderate effort)",video-games
22280,5.0,"Active video game, motion sensing game/using total body (moderate-to-vigorous effort)",video-games
22320,7.5,"Active video game, motion sensing game/using total body, exergames, workouts, dancing (vigorous effort)",video-games
22360,9.8,"Conditioning/exercise virtual reality fitness, vigorous intensity",video-games
